,filename,errors count,good words count,metric,Levenshtein,Letters sum
0,skazki/IMG_20190715_121602.marked.txt,0,59,0,3,360
1,skazki/IMG_20190715_121622.marked.txt,4,54,0.06897,9,361
2,skazki/IMG_20190715_121058.marked.txt,14,52,0.21212,76,407
3,skazki/IMG_20190715_121953.marked.txt,1,51,0.01923,3,335
4,skazki/IMG_20190715_122500.marked.txt,5,49,0.09259,18,353
5,skazki/IMG_20190715_121335.marked.txt,9,45,0.16667,25,330
6,skazki/IMG_20190715_121945.marked.txt,1,44,0.02222,1,282
7,skazki/IMG_20190715_121705.marked.txt,3,44,0.06383,5,316
8,skazki/IMG_20190715_121740.marked.txt,7,42,0.14286,14,329
9,ola/IMG_5200.marked.txt,4,41,0.08889,26,283
10,skazki/IMG_20190715_122405.marked.txt,6,41,0.12766,47,275
11,skazki/IMG_20190715_121939.marked.txt,3,41,0.06818,6,286
12,skazki/IMG_20190715_122421.marked.txt,0,37,0,4,229
13,skazki/IMG_20190715_122809.marked.txt,11,34,0.24444,55,261
14,skazki/IMG_20190715_122417.marked.txt,2,33,0.05714,33,217
15,skazki/IMG_20190715_121517.marked.txt,2,33,0.05714,15,229
16,mdd-redmi1/09.marked.txt,4,32,0.11111,11,225
17,skazki/IMG_20190715_122836.marked.txt,3,31,0.08824,24,230
18,skazki/IMG_20190715_122442.marked.txt,0,31,0,3,216
19,skazki/IMG_20190715_122904.marked.txt,2,30,0.0625,81,210
20,chudo_derevo_redmi/IMG_20190715_113013.marked.txt,1,24,0.04,6,150
21,skazki/IMG_20190715_122803.marked.txt,9,23,0.28125,69,178
22,chudo_derevo_redmi/IMG_20190715_112939.marked.txt,0,23,0,1,152
23,skazki/IMG_20190715_122325.marked.txt,7,22,0.24138,132,168
24,skazki/IMG_20190715_121542.marked.txt,6,21,0.22222,44,177
25,chudo_derevo_redmi/IMG_20190715_112928.marked.txt,3,20,0.13043,2,144
26,chudo_derevo_redmi/IMG_20190715_112958.marked.txt,2,20,0.09091,15,144
27,ola/IMG_5365.marked.txt,2,16,0.11111,18,119
28,telefon/IMG_20190715_123241.marked.txt,4,14,0.22222,23,107
29,telefon/IMG_20190715_123426.marked.txt,2,14,0.125,53,96
30,mdd_cannon1/03.marked.txt,2,14,0.125,8,105
31,telefon/IMG_20190715_123312.marked.txt,11,14,0.44,34,158
32,ola/IMG_5373.marked.txt,0,11,0,44,78
33,telefon/IMG_20190715_123443.marked.txt,7,9,0.4375,52,98
34,uploaded/2378374bda87d842436936f81d442bfb.marked.txt,4,7,0.36364,62,61
35,uploaded/IMG_20190822_182841.marked.txt,2,6,0.25,36,53
36,uploaded/15662872188361764114561.marked.txt,7,5,0.58333,177,63
37,ola/IMG_5368.marked.txt,0,2,0,23,14
38,kov/15e4578a-2295-40ef-969a-a8e8c2c7c740.marked.txt,4,1,0.8,195,22
39,kov/6c4425c1-ecb1-499f-ad8a-283f802a1936.marked.txt,0,0,0,96,0
